제조사,정규화제품키,원본품목번호,분류후보,원본품목명,검토상태
미성패밀리,허쉬크림샌드위치쿠키,65038|70089,과자 > 비스킷 > 쿠키|과자 > 스낵 > 샌드,미성패밀리허쉬초코크림샌드위치쿠키|허쉬)초코크림샌드위치쿠키100G,pending
부루구루,부루구루콤부차,35843|35844,음료 > 커피음료 > 커피음료|음료 > 탄산음료 > 혼합탄산,부루구루)부루구루콤부차레몬|부루구루)부루구루콤부차오리지널,pending
서울에프앤비,마이밀비핏오트,25879|25880,음료 > 기능성음료 > 기타기능성음료|음료 > 냉장음료 > 코코넛워터,서울에프앤비 마이밀비핏오트190ML|서울에프앤비 마이밀비핏오트초코190ML,pending
서울우유,서울우유,20240|50187|50190|55180|70215|80184|80188,유제품 > 우유 > 가공우유|유제품 > 우유 > 일반우유,서울우유|서울우유딸기|서울우유초콜릿,pending
서울우유,아침에주스포도,35157|65125,유제품 > 우유 > 가공우유|음료 > 과채음료 > 과채혼합음료,서울우유)아침에주스포도950ML|서울우유아침에주스포도,pending
소피바디,피트천연코튼팬티라이너라벤더,80080|90091,미분류 > 생리용품 > 팬티라이너|의약외품 > 생리용품 > 팬티라이너,소피바디피트천연코튼팬티라이너라벤더|소피바디피트천연코튼팬티라이너라벤더20개입,pending
슈가버블,식기세척기용액체세제,25783|55348,생활용품 > 주방용품 > 세제|홈클린 > 주방세제 > 일반주방세제,슈가버블 식기세척기용액체세제1L|슈가버블식기세척기용액체세제,pending
싸이클릭푸드,피넛브리틀바이츠,15815|35436,과자 > 견과류 > 땅콩|상온HMR > 가공안주류 > 견과류,싸이클릭푸드 피넛브리틀바이츠 210G|싸이클릭푸드)피넛브리틀바이츠,pending
아트위드미,유기농참밤,25638|65857|66306,과자 > 견과류 > 밤|통조림/안주 > 통조림 > 보일드통조림,아트위드미 유기농참밤 60G|아트위드미 유기농참밤60G|아트위드미)유기농참밤3개입,pending
애경,말랑카우를좋아하는말랑이버블핸드워시,50188|50189,생활용품 > 목욕용품 > 바디용품|유제품 > 요구르트 > 마시는 요구르트,애경말랑카우를좋아하는말랑이버블핸드워시,pending
애경,케라시스데미지클리닉샴푸,10277|45710,이/미용 > 두발용품 > 샴푸|이/미용 > 위생용품 > 바디워시,애경)케라시스데미지클리닉오리지널샴푸|애경케라시스데미지클리닉오리지널샴푸,pending
애경,케라시스볼륨클리닉샴푸,56057|60173,이/미용 > 두발용품 > 샴푸|홈클린 > 두발용품 > 샴푸,애경)케라시스볼륨클리닉오리지널샴푸|애경케라시스 볼륨 클리닉 샴푸,pending
영남코프레이션,바질페스토,15331|66071,상온HMR > 소스류 > 파스타소스|소스 > 소스류 > 파스타소스,영남코프레이션 바질페스토 190G|영남코프레이션)바질페스토190G,pending
